OntoNotes_train                         	Israelis                                                                                            	Yesterday Ehud Barak won the endorsement of his Labor Party as its candidate for Prime Minister and while his supporters may be cheering , many other                                                                                                                                                       	|have turned away from the man they elected just 18 months ago .                                                                                                                                                                                                                                             
OntoNotes_train                         	What                                                                                                	                                                                                                                                                                                                                                                                                                            	|'s going on with contemporary art these days ?                                                                                                                                                                                                                                                              
OntoNotes_train                         	outstanding                                                                                         	My                                                                                                                                                                                                                                                                                                          	|brother In fact , I am displeased by your choices -- you and Aba Lujayn -- for instance ... of specific subjects . . meant apparently to promote your earnest concern which you lack in your heart -- you and him . Because you choose only the subjects which get the interest of the common people , and you stir up instincts in them to find enough drum-beating to satisfy your illusion -- you and Aba Lujayn along with several writers . .
OntoNotes_train                         	The                                                                                                 	                                                                                                                                                                                                                                                                                                            	|usual warning signs of hypoglycemia include sweating , anxiety and cramps .                                                                                                                                                                                                                                 
OntoNotes_train                         	The                                                                                                 	                                                                                                                                                                                                                                                                                                            	|Lion from the tribe of Judah has won the victory .                                                                                                                                                                                                                                                          
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------OntoNotes_test                          	the US General Electric Capital Company and the Shanghai Electric Company                           	Co-operation between                                                                                                                                                                                                                                                                                        	|included investment in building 4 sets of 100,000 kW class turbine generating units .                                                                                                                                                                                                                       
OntoNotes_test                          	the UN population fund                                                                              	We do not hope to see the work of                                                                                                                                                                                                                                                                           	|receiving interference or even being diverted from its principles and mission due to pressure from the US . ''                                                                                                                                                                                              
OntoNotes_test                          	Thomson                                                                                             	In missiles ,                                                                                                                                                                                                                                                                                               	|is already overshadowed by British Aerospace and by its home rival , France 's Aerospatiale S.A. ; to better compete , Thomson officials say , they need a partnership .                                                                                                                                    
OntoNotes_test                          	the number                                                                                          	The proportion of the number of private industries and private commerce in the total number of private enterprises and employed people of the whole city is respectively 76.33 % and 78.32 % ,                                                                                                              	|of recently opened private enterprises are continually increasing .                                                                                                                                                                                                                                         
OntoNotes_test                          	Customs                                                                                             	Based on rights certificates of the intellectual property rights -LRB- for example certificates of registration of intellectual property rights or samples of the works that are copyrighted and related materials sufficient to prove their rights -RRB- , they can report to Custom locations where the relevant goods are imported or exported and also request	|to investigate and deal with the import and export of goods that violate .                                                                                                                                                                                                                                  
OntoNotes_test                          	insurers                                                                                            	Pension funds ,                                                                                                                                                                                                                                                                                             	|and other behemoths of the investing world said they began scooping up stocks during Friday 's market rout .                                                                                                                                                                                                
OntoNotes_test                          	These thrifts                                                                                       	``                                                                                                                                                                                                                                                                                                          	|are beached whales , '' said Bert Ely , an industry consultant based in Alexandria , Va .                                                                                                                                                                                                                   
OntoNotes_test                          	Avis Inc.                                                                                           	                                                                                                                                                                                                                                                                                                            	|, following rival Hertz Corp. 's lead , said it is backing out of frequent - flier programs with three airlines .                                                                                                                                                                                           
OntoNotes_test                          	the Foreign Exchange Management Bureau                                                              	International business loans that have not been approved but were signed on their own authority will not be valid ,                                                                                                                                                                                         	|will not process the registration of foreign debts , banks are not allowed to open exclusive foreign debt accounts for them , loan principals and interests are not to be remitted out on their own authority .                                                                                             
OntoNotes_test                          	the Labor Department                                                                                	Overall , the index has climbed at a 5.1 % compound annual rate since the start of the year ,                                                                                                                                                                                                               	|said .                                                                                                                                                                                                                                                                                                      
OntoNotes_test                          	Backer Spielvogel                                                                                   	`` It has n't had any impact on us , nor do we expect it to , '' said a spokeswoman for Miller Brewing Co. , a major client of                                                                                                                                                                              	|.                                                                                                                                                                                                                                                                                                           
OntoNotes_test                          	Matra S.A.                                                                                          	Most threatened by closer British Aerospace - Thomson ties would be their respective national rivals , including                                                                                                                                                                                            	|in France and Britain 's General Electric Co. PLC .                                                                                                                                                                                                                                                         
OntoNotes_test                          	Talent introduction departments                                                                     	                                                                                                                                                                                                                                                                                                            	|also actively went out visiting science and technology management talent .                                                                                                                                                                                                                                  
OntoNotes_test                          	companies                                                                                           	The eventual court decision could become a landmark in Dutch corporate law because the lawsuit ASKO plans to file would be the first to challenge the entire principle and practice of                                                                                                                      	|issuing voting preferred shares to management - controlled trusts to dilute voting power of common stockholders .                                                                                                                                                                                           
OntoNotes_test                          	China 's Northeast Teacher 's University , which has considerably researched the regional economy   	Moreover , the Industrial Development Organization has also entrusted                                                                                                                                                                                                                                       	|, to implement the preliminary investigation and research for analysis of the circulation of materials via the sea , land and air transportation system of the Northeast Asia region in the next twenty years .                                                                                             
OntoNotes_test                          	the International Stock Exchange , London                                                           	It will continue to trade on                                                                                                                                                                                                                                                                                	|.                                                                                                                                                                                                                                                                                                           
OntoNotes_test                          	a world famous power plant equipment manufacturer                                                   	Today , Brown separately attended the signing of a 20 - year joint investment agreement between                                                                                                                                                                                                             	|-- the US 's Westinghouse Company and the Shanghai Electric Group ; and the signing of a joint investment agreement between the US 's General Electric Capital Company and the Shanghai Electricity Company to jointly invest in and establish a combustible engine electric power generation company .     
OntoNotes_test                          	British Aerospace and Thomson - CSF -- traditionally bitter competitors for Middle East and Third World weapons contracts --	The sudden romance of                                                                                                                                                                                                                                                                                       	|is stirring controversy in Western Europe 's defense industry .                                                                                                                                                                                                                                             
OntoNotes_test                          	the company                                                                                         	The Fiero plant was viewed as a model of union - management cooperation at GM before slow sales of the Fiero forced                                                                                                                                                                                         	|to close the factory last year .                                                                                                                                                                                                                                                                            
OntoNotes_test                          	Royal Bank of Scotland Group PLC                                                                    	                                                                                                                                                                                                                                                                                                            	|, an Edinburgh , Scotland , financial services company , will list American depositary shares , representing preferred shares , with the symbol RBSPr .                                                                                                                                                     
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------FIGER_filtered_with_OntoNotes_test      	Cougars                                                                                             	A recent spate of injuries , though , has suddenly left the Huskies surprisingly thin in the frontcourt going into Saturday ’s game against Washington State in Pullman , Wash. , where the UW will attempt to extend its 32-game winning streak against the                                                	|.                                                                                                                                                                                                                                                                                                           
FIGER_filtered_with_OntoNotes_test      	Hansen                                                                                              	He said an arena could be built on as little as 7 to 8 acres , which is about the size of the parcel the                                                                                                                                                                                                    	|investment group has shown an interest in acquiring .                                                                                                                                                                                                                                                       
FIGER_filtered_with_OntoNotes_test      	UW School of Social Work                                                                            	Homeless children in the U-District will get the opportunity to show their art pieces in an exhibit held at the                                                                                                                                                                                             	|this winter quarter .                                                                                                                                                                                                                                                                                       
FIGER_filtered_with_OntoNotes_test      	Adirondack Park Agency                                                                              	The emotion in the room was palpable when state                                                                                                                                                                                                                                                             	|commissioners approved a permit for the Adirondack Club and Resort Friday morning .                                                                                                                                                                                                                         
FIGER_filtered_with_OntoNotes_test      	Washington State                                                                                    	A recent spate of injuries , though , has suddenly left the Huskies surprisingly thin in the frontcourt going into Saturday ’s game against                                                                                                                                                                 	|in Pullman , Wash. , where the UW will attempt to extend its 32-game winning streak against the Cougars .                                                                                                                                                                                                   
FIGER_filtered_with_OntoNotes_test      	Companion Animal Society                                                                            	Questionnaires were distributed to all members of the                                                                                                                                                                                                                                                       	|, part of the New Zealand Veterinary Association .                                                                                                                                                                                                                                                          
FIGER_filtered_with_OntoNotes_test      	Northwestern Energy                                                                                 	                                                                                                                                                                                                                                                                                                            	|spokeswoman Claudia Rapkoch said the outage started at 10:50 a.m .                                                                                                                                                                                                                                          
FIGER_filtered_with_OntoNotes_test      	Sanctuary Art Center                                                                                	The                                                                                                                                                                                                                                                                                                         	|also has an education program , which is partnered with the Interagency Academy , an alternative school in Seattle that allows young adults to get credit toward their GEDs by participating in the program .                                                                                               
FIGER_filtered_with_OntoNotes_test      	Indian Student Association                                                                          	Divya Ramachandra , secretary of the                                                                                                                                                                                                                                                                        	|( ISA ) , said that the broad community covered in ASC makes it difficult for some constituents to feel connected to others .                                                                                                                                                                               
FIGER_filtered_with_OntoNotes_test      	IPNW                                                                                                	The                                                                                                                                                                                                                                                                                                         	|grew from a volunteer effort in 1997 and aims at freeing inmates who have been wrongfully convicted of crimes , and the legislative advocacy division is new this year .                                                                                                                                    
FIGER_filtered_with_OntoNotes_test      	Local Government Review Board                                                                       	" I look at this as a historic moment , " Gerald Delaney , chairman of the                                                                                                                                                                                                                                  	|, said during a public comment session after the vote .                                                                                                                                                                                                                                                     
FIGER_filtered_with_OntoNotes_test      	ASC                                                                                                 	“ Some people have felt that South Asian people have been left out of the Asian Student Commission and that they do n’t feel like they are being represented well in the                                                                                                                                    	|. ”                                                                                                                                                                                                                                                                                                         
FIGER_filtered_with_OntoNotes_test      	City Council                                                                                        	If it does , he said , " consulting with the                                                                                                                                                                                                                                                                	|will be my first step in moving forward . "                                                                                                                                                                                                                                                                 
FIGER_filtered_with_OntoNotes_test      	IHME                                                                                                	UW staff from the Foster School of Business and                                                                                                                                                                                                                                                             	|helped create the contest , which is sponsored by the Global Health Nexus — an initiative of the Washington Global Health Alliance that works to raise statewide awareness of global health .                                                                                                               
FIGER_filtered_with_OntoNotes_test      	Sanctuary                                                                                           	For the art pieces on sale , 90 percent of the profits go to the young artists and the rest goes to the                                                                                                                                                                                                     	|organization , whose mission is “ to provide a safe , warm , and calm environment for homeless and street involved youth to experience creativity and success through the use of various artistic media . ”                                                                                                 
FIGER_filtered_with_OntoNotes_test      	Spurs                                                                                               	The AT&T Center is home to three teams — the                                                                                                                                                                                                                                                                	|, the WNBA 's Silver Stars and the American Hockey League 's Rampage .                                                                                                                                                                                                                                      
FIGER_filtered_with_OntoNotes_test      	University Lutheran Church-based                                                                    	The pieces were compiled at the Sanctuary Art Center , a non-profit ,                                                                                                                                                                                                                                       	|organization designed to teach creativity to youth .                                                                                                                                                                                                                                                        
FIGER_filtered_with_OntoNotes_test      	Washington Global Health Alliance                                                                   	UW staff from the Foster School of Business and IHME helped create the contest , which is sponsored by the Global Health Nexus — an initiative of the                                                                                                                                                       	|that works to raise statewide awareness of global health .                                                                                                                                                                                                                                                  
FIGER_filtered_with_OntoNotes_test      	NBA                                                                                                 	Hirsh estimated it would cost $ 400 million to build a new arena , although the                                                                                                                                                                                                                             	|'s New Jersey Nets will spend $ 800 million on one in Brooklyn .                                                                                                                                                                                                                                            
FIGER_filtered_with_OntoNotes_test      	The Seattle Times                                                                                   	In an interview with                                                                                                                                                                                                                                                                                        	|, Balth said his intention in his art is “ to come to the heart of seeing , the core of perception . ”                                                                                                                                                                                                      
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------BBN_filtered_with_OntoNotes_test        	National Association of Business Economists                                                         	In a paper presented at the recent annual meeting of the                                                                                                                                                                                                                                                    	|in San Francisco , Mr. Durkin comments that `` installment credit always grows rapidly in cyclical advances , and growth in this cycle is very typical of earlier experiences . ''                                                                                                                          
BBN_filtered_with_OntoNotes_test        	Toshiba                                                                                             	The company supplies drives to Compaq and Zenith Data Systems , the top two U.S. manufacturers of laptops , and to                                                                                                                                                                                          	|Corp. , NEC Corp. and Sharp Corp. , the leading Japanese laptop makers .                                                                                                                                                                                                                                    
BBN_filtered_with_OntoNotes_test        	EPA                                                                                                 	-- Give the                                                                                                                                                                                                                                                                                                 	|added discretion to set `` negligible risk '' levels for pesticide residues in processed food .                                                                                                                                                                                                             
BBN_filtered_with_OntoNotes_test        	HBO                                                                                                 	Saturday , Oct. 28 , 8-10 p.m. EDT , on                                                                                                                                                                                                                                                                     	|-LRB- repeated Oct. 31 , Nov. 5 , 8 , 14 , 16 and 20 -RRB- : `` Perfect Witness . ''                                                                                                                                                                                                                        
BBN_filtered_with_OntoNotes_test        	Dodge                                                                                               	The seasonally adjusted                                                                                                                                                                                                                                                                                     	|Index reached 175 in September , its highest level this year , from 162 in August .                                                                                                                                                                                                                         
BBN_filtered_with_OntoNotes_test        	Treasury                                                                                            	Renaissance declined to confirm the move , but its stock purchases were thought to have begun Tuesday , timed to coincide with the maturity this week of                                                                                                                                                    	|bills owned by the firm .                                                                                                                                                                                                                                                                                   
BBN_filtered_with_OntoNotes_test        	DAF                                                                                                 	Renault and                                                                                                                                                                                                                                                                                                 	|are expected to invest a total of about three billion French francs -LRB- $ 157.8 million -RRB- in the venture , including FFr 1 billion for design and development costs .                                                                                                                                 
BBN_filtered_with_OntoNotes_test        	Fed                                                                                                 	The other 40 % said the                                                                                                                                                                                                                                                                                     	|ought to worry less about inflation and bring interest rates down .                                                                                                                                                                                                                                         
BBN_filtered_with_OntoNotes_test        	Tiger International Inc .                                                                           	The investor was instrumental in tapping Mr. Wolf to run the air cargo unit of                                                                                                                                                                                                                              	|                                                                                                                                                                                                                                                                                                            
BBN_filtered_with_OntoNotes_test        	Southwest Review                                                                                    	Mr. Spiegelman is professor of English at Southern Methodist University and editor of the                                                                                                                                                                                                                   	|.                                                                                                                                                                                                                                                                                                           
BBN_filtered_with_OntoNotes_test        	NFL                                                                                                 	A jury in 1986 agreed with the USFL 's claims that the                                                                                                                                                                                                                                                      	|monopolized major league football .                                                                                                                                                                                                                                                                         
BBN_filtered_with_OntoNotes_test        	Emhart                                                                                              	The three units contributed about a third of Emhart 's total sales . In addition , Black & Decker had said it would sell two other undisclosed                                                                                                                                                              	|operations if it received the right price .                                                                                                                                                                                                                                                                 
BBN_filtered_with_OntoNotes_test        	Banco Exterior                                                                                      	The state-owned industrial holding company Instituto Nacional de Industria and the Bank of Spain jointly hold a 13.94 % stake in                                                                                                                                                                            	|.                                                                                                                                                                                                                                                                                                           
BBN_filtered_with_OntoNotes_test        	University of Chicago                                                                               	Before joining Maidenform in 1972 , Mr. Brawer , who holds a doctoral degree in English from the                                                                                                                                                                                                            	|, taught at the University of Wisconsin .                                                                                                                                                                                                                                                                   
BBN_filtered_with_OntoNotes_test        	Baker 's Dozen                                                                                      	Many in the Bay Area 's pastry community express disbelief that Ms. Shere kept only one copy of such valuable notes , but she has received moral support from                                                                                                                                               	|, a group of California pastry chefs that meets regularly to discuss issues like how to keep meringues from weeping and how bovine eating habits affect butter texture .                                                                                                                                    
BBN_filtered_with_OntoNotes_test        	Venture Capitalists                                                                                 	Two of Mr. Holmes 's business associates who worked for                                                                                                                                                                                                                                                     	|, Kimberly Ann Smith and Frederick Byrum , also consented to being enjoined from violations of registration provisions of the securities laws .                                                                                                                                                             
BBN_filtered_with_OntoNotes_test        	Courtaulds                                                                                          	In addition ,                                                                                                                                                                                                                                                                                               	|said the moves are logical because they will allow both the chemicals and textile businesses to focus more closely on core activities .                                                                                                                                                                     
BBN_filtered_with_OntoNotes_test        	Wendy 's International Inc .                                                                        	Mr. Sugarman has in turn contended that the other major shareholder group -- whose interests are represented by three other directors connected to trusts in the name of the children of the company 's founder , James Patterson -- has ties to a competing fast food chain ,                              	|                                                                                                                                                                                                                                                                                                            
BBN_filtered_with_OntoNotes_test        	Board of Trade                                                                                      	The Capcom Futures unit withdrew from Board of Trade membership voluntarily in August , a                                                                                                                                                                                                                   	|spokesman said .                                                                                                                                                                                                                                                                                            
BBN_filtered_with_OntoNotes_test        	American Brands                                                                                     	                                                                                                                                                                                                                                                                                                            	|declined to comment on Mr. Wathen 's accusations .                                                                                                                                                                                                                                                          
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------Choi_filtered_with_OntoNotes_test       	it                                                                                                  	Over time , IBM increasingly focused on complex server computers , corporate customers , computer services and software , and                                                                                                                                                                               	|did not heavily advertise its PCs to consumers .                                                                                                                                                                                                                                                            
Choi_filtered_with_OntoNotes_test       	it                                                                                                  	" If Iran tried to reach Gulf states by land and air ,                                                                                                                                                                                                                                                      	|will face logistical problems that are more difficult than those it has faced in Iraq ( during the 1980 - 1988 war ) , " the Arab , Western and Iranian intellectuals wrote in the book entitled " Iran and the Gulf ... search for stability . "                                                           
Choi_filtered_with_OntoNotes_test       	advocacy groups                                                                                     	Decisions by the company not to remove material related to Holocaust denial or pages critical of Islam and other religions , for example , have annoyed                                                                                                                                                     	|and prompted some foreign governments to temporarily block the site .                                                                                                                                                                                                                                       
Choi_filtered_with_OntoNotes_test       	the City Government                                                                                 	He or she is appointed by                                                                                                                                                                                                                                                                                   	|on the nomination of the Mayor and after having heard the opinion of the Administrative Councils .                                                                                                                                                                                                          
Choi_filtered_with_OntoNotes_test       	They                                                                                                	                                                                                                                                                                                                                                                                                                            	|require an engaged work force , and that 's why a democratic approach to change can make all the difference .                                                                                                                                                                                               
Choi_filtered_with_OntoNotes_test       	We                                                                                                  	"                                                                                                                                                                                                                                                                                                           	|are more than ready to retaliate to any Israeli attack , " said Sheikh Nabil Qauq , a Hezbollah official for south Lebanon .                                                                                                                                                                                
Choi_filtered_with_OntoNotes_test       	it                                                                                                  	The Dow Jones industrials component , which beat earnings estimates by a penny per share for the quarter , said                                                                                                                                                                                             	|expects earnings to grow 10 percent to 15 percent this year and will be sustained through 2006 as well .                                                                                                                                                                                                    
Choi_filtered_with_OntoNotes_test       	it                                                                                                  	The government announced                                                                                                                                                                                                                                                                                    	|would guarantee warranties of vehicles sold in the U.S. starting March 30 .                                                                                                                                                                                                                                 
Choi_filtered_with_OntoNotes_test       	It                                                                                                  	                                                                                                                                                                                                                                                                                                            	|has also reached a draft agreement with the Philippines on a bilateral free trade deal , which would allow Filipino nurses and healthcare workers to work in Japan .                                                                                                                                        
Choi_filtered_with_OntoNotes_test       	it                                                                                                  	While Taiwan is an APEC member ,                                                                                                                                                                                                                                                                            	|does not send its president to annual meetings , as others gathering next month will do .                                                                                                                                                                                                                   
Choi_filtered_with_OntoNotes_test       	It                                                                                                  	                                                                                                                                                                                                                                                                                                            	|earned $ 66.1 million last year on on revenues of $ 1.02 billion .                                                                                                                                                                                                                                          
Choi_filtered_with_OntoNotes_test       	the ruling criminal regime                                                                          	Will                                                                                                                                                                                                                                                                                                        	|send in the special forces to do a Tiananmen Square job ?                                                                                                                                                                                                                                                   
Choi_filtered_with_OntoNotes_test       	it                                                                                                  	In October Microsoft said                                                                                                                                                                                                                                                                                   	|had sold six million XBox 360s worldwide .                                                                                                                                                                                                                                                                  
Choi_filtered_with_OntoNotes_test       	DirecTV                                                                                             	Usually no advertisements on subscription services -LRB-                                                                                                                                                                                                                                                    	|and Dish Network both claim to provide advertisement-free content -RRB- .                                                                                                                                                                                                                                   
Choi_filtered_with_OntoNotes_test       	They                                                                                                	``                                                                                                                                                                                                                                                                                                          	|'ve been slammed left , right and center _ there 's a flight to quality in the market , '' Sekely said .                                                                                                                                                                                                    
Choi_filtered_with_OntoNotes_test       	the foundation                                                                                      	This could mislead people into consuming more sodium than they should ,                                                                                                                                                                                                                                     	|warned after conducting tests on 12 oyster and clam extract products that were bought in Taipei and Taichung .                                                                                                                                                                                              
Choi_filtered_with_OntoNotes_test       	it                                                                                                  	On Friday ,                                                                                                                                                                                                                                                                                                 	|convinced a court to bar `` MacDonalds '' from using its trademark golden arches , names and logo .                                                                                                                                                                                                         
Choi_filtered_with_OntoNotes_test       	Our network of moving companies                                                                     	                                                                                                                                                                                                                                                                                                            	|can provide service from coast to coast in the continental United States as well as accommodating local moves within one state .                                                                                                                                                                            
Choi_filtered_with_OntoNotes_test       	China , in recent years also introduced a production line of pre-separating kilns , constructed large scale	Additionally ,                                                                                                                                                                                                                                                                                              	|modernized cement corporations such as Jidong , Ningguo , Huaihai , Liuzhou , etc. , and has recently increased annual production capability of 22 million tons of cement .                                                                                                                                 
Choi_filtered_with_OntoNotes_test       	It                                                                                                  	                                                                                                                                                                                                                                                                                                            	|also operates logistic facilities in New Zealand supporting the South Pole and McMurdo .                                                                                                                                                                                                                    
