FIGER_filtered_with_Choi_test           	New York                                                                                            	Marek Wieczorek , UW associate professor of art history , remembers his first exhibition well : In 1989 , he curated “ The Desire of the Museum ” at the Whitney Museum in                                                                                                                                  	|.                                                                                                                                                                                                                                                                                                           
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------BBN_filtered_with_Choi_test             	Nashville                                                                                           	Meharry Medical College in                                                                                                                                                                                                                                                                                  	|, Tenn. , launches a new research publication in the spring : the Journal on Health Care for the Poor and Underserved .                                                                                                                                                                                     
BBN_filtered_with_Choi_test             	London                                                                                              	Late Friday night , the                                                                                                                                                                                                                                                                                     	|office of Jefferies & Co. , a Los Angeles securities firm , traded AMR shares at prices as low as 80 .                                                                                                                                                                                                      
BBN_filtered_with_Choi_test             	New York                                                                                            	Perhaps most dramatic was the performance of the metropolitan                                                                                                                                                                                                                                               	|real-estate market , which was booming until I entered it in late 1988 , at which time it posted the first negative compound annual growth rate in years .                                                                                                                                                  
BBN_filtered_with_Choi_test             	Boca Raton                                                                                          	When it 's time for their biannual powwow , the nation 's manufacturing titans typically jet off to the sunny confines of resort towns like                                                                                                                                                                 	|and Hot Springs .                                                                                                                                                                                                                                                                                           
BBN_filtered_with_Choi_test             	Washington                                                                                          	Mr. Bennett declared in April that he would make                                                                                                                                                                                                                                                            	|a `` test case '' for how the Bush administration would aid cities afflicted by heavy drug trafficking and violence .                                                                                                                                                                                       
BBN_filtered_with_Choi_test             	Toronto                                                                                             	Jim Pattison Industries Ltd. , one of a group of closely held companies owned by entrepreneur James Pattison , said it `` intends to seek control '' of 30 % -owned Innopac Inc. , a                                                                                                                        	|packaging concern .                                                                                                                                                                                                                                                                                         
BBN_filtered_with_Choi_test             	New York                                                                                            	Betty Raptopoulos , senior metals analyst at Prudential-Bache Securities in                                                                                                                                                                                                                                 	|, agreed that most of the selling was of a technical nature .                                                                                                                                                                                                                                               
BBN_filtered_with_Choi_test             	Chicago                                                                                             	To profit from an index-arbitrage opportunity , someone who owns the S & P 500 widget in New York must sell it and replace it with a cheaper S & P 500 widget in                                                                                                                                            	|.                                                                                                                                                                                                                                                                                                           
BBN_filtered_with_Choi_test             	San Francisco                                                                                       	SOUTHERN PACIFIC TRANSPORTATION CO. ,                                                                                                                                                                                                                                                                       	|, railroad , annual sales of $ 2.41 billion , had only minor damage to headquarters and tracks , and expects to be fully operational tomorrow .                                                                                                                                                             
BBN_filtered_with_Choi_test             	New York                                                                                            	`` Generalizations about value are n't useful , '' says                                                                                                                                                                                                                                                     	|money manager John LeFrere of Delta Capital Management .                                                                                                                                                                                                                                                    
BBN_filtered_with_Choi_test             	Las Vegas                                                                                           	If MGM Grand Inc. proceeds with its plan for an amusement park -- a $ 700 million movieland resort with a working studio , casino and 5,000-room hotel that would become                                                                                                                                    	|'s biggest -- the investment in the three properties will total some $ 1.6 billion .                                                                                                                                                                                                                        
BBN_filtered_with_Choi_test             	Los Angeles                                                                                         	DPC , an investor group led by New York-based Crescott Investment Associates , had itself filed a suit in state court in                                                                                                                                                                                    	|seeking to nullify the agreement .                                                                                                                                                                                                                                                                          
BBN_filtered_with_Choi_test             	Greenville                                                                                          	The company said it has agreed to sell the extrusion division for $ 15 million to R.D . Werner Co. , a closely held firm based in                                                                                                                                                                           	|, Pa .                                                                                                                                                                                                                                                                                                      
BBN_filtered_with_Choi_test             	Sarasota                                                                                            	He 's currently in the midst of a 17-city U.S. tour with Yehudi Menuhin and the Warsaw Sinfonia , with stops including Charleston , S.C . -LRB- Oct. 25 -RRB- ,                                                                                                                                             	|, Fla . -LRB- Oct. 28 -RRB- , Tampa , Fla . -LRB- Oct. 29 -RRB- and Miami -LRB- Oct. 31 -RRB- .                                                                                                                                                                                                             
BBN_filtered_with_Choi_test             	Soweto                                                                                              	South Africa 's government said peaceful demonstrations such as the anti-apartheid rally Sunday near                                                                                                                                                                                                        	|have helped ease tensions and assisted political changes .                                                                                                                                                                                                                                                  
BBN_filtered_with_Choi_test             	Wayne                                                                                               	Ford Motor Co. slated overtime again this week at its Wixom , Mich. ;                                                                                                                                                                                                                                       	|, Mich. ; Kansas City , Mo . , and Norfolk , Va. , assembly plants .                                                                                                                                                                                                                                        
BBN_filtered_with_Choi_test             	Walnut Creek                                                                                        	The concern 's National Service Division opened a center for emergency service in                                                                                                                                                                                                                           	|as part of its disaster-recovery plan .                                                                                                                                                                                                                                                                     
BBN_filtered_with_Choi_test             	Tokyo                                                                                               	Christopher Hill in                                                                                                                                                                                                                                                                                         	|, Nicholas Hastings in London , Erik Kirschbaum in Frankfurt and Caitlin Randall and Douglas Appell in New York contributed to this article .                                                                                                                                                               
BBN_filtered_with_Choi_test             	Beverly Hills                                                                                       	Company officials said over the weekend that Qintex Australia 's bank creditors have become concerned about a barrage of bad news at the company , including a failed US $ 1.5 billion plan to buy MGM\/UA Communications Co. , a                                                                           	|, Calif. , movie and television production concern .                                                                                                                                                                                                                                                        
BBN_filtered_with_Choi_test             	Minneapolis                                                                                         	The cut in the dividend to 10 cents a share semiannually , from 20 cents , `` would indicate to me they do n't see the problems being fixed real quick , '' said Frank Rolfes , an analyst at Dain Bosworth Inc. in                                                                                         	|.                                                                                                                                                                                                                                                                                                           
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------OntoNotes_filtered_with_Choi_test       	capital                                                                                             	In Amman ,                                                                                                                                                                                                                                                                                                  	|of Jordan , thousands of angry people paraded and demonstrated in front of the US embassy , objecting to the multi-national forces bombing and killing innocent civilians in Baghdad .                                                                                                                      
OntoNotes_filtered_with_Choi_test       	Laiwu City                                                                                          	According to understanding , currently Shandong has established ten agricultural new high level technology development and model zones similar to that of                                                                                                                                                   	|.                                                                                                                                                                                                                                                                                                           
OntoNotes_filtered_with_Choi_test       	New York                                                                                            	Financing for any takeover attempt may be problematic in the wake of Friday 's stock - market sell - off in                                                                                                                                                                                                 	|and turmoil in the junk - bond market .                                                                                                                                                                                                                                                                     
OntoNotes_filtered_with_Choi_test       	Guangdong 's                                                                                        	In market competition , products such as Jiangxi 's Yaya brand , Beijing 's Yililan brand ,                                                                                                                                                                                                                 	|Galanz brand , and Sichuan 's Tian'ge brand , etc. have great reputations .                                                                                                                                                                                                                                 
OntoNotes_filtered_with_Choi_test       	Shanghai                                                                                            	Xinhua News Agency ,                                                                                                                                                                                                                                                                                        	|, Dec. 20th , by reporter Yu Wu                                                                                                                                                                                                                                                                             
OntoNotes_filtered_with_Choi_test       	Macau 's                                                                                            	Xuming Zhang expressed that enterprises operating with Chinese capital in Macau will continue to take the direction of Xiaoping Deng 's program of '' one country , two systems '' and of all national guidelines and policies for Hong Kong and Macau , to adhere to the principle of '' Some to do and some not to do '' , and to strive together with local figures in industrial and commercial circles to make more contributions to promoting	|economic stability and social development .                                                                                                                                                                                                                                                                 
OntoNotes_filtered_with_Choi_test       	his San Diego home                                                                                  	Mr. Thygerson said he had planned to travel between the job in Denver and                                                                                                                                                                                                                                   	|, but has found the commute too difficult to continue .                                                                                                                                                                                                                                                     
OntoNotes_filtered_with_Choi_test       	Addison                                                                                             	                                                                                                                                                                                                                                                                                                            	|is no stranger to cans of worms , either .                                                                                                                                                                                                                                                                  
OntoNotes_filtered_with_Choi_test       	Hong Kong                                                                                           	CALTEX and Caterpillar from the US , Japan 's Itochu , South Korea 's Daewoo and the New World Consortium from                                                                                                                                                                                              	|had been successively entering the zone to invest and open business .                                                                                                                                                                                                                                       
OntoNotes_filtered_with_Choi_test       	Shanghai                                                                                            	Xinhua News Agency ,                                                                                                                                                                                                                                                                                        	|, August 31st , by reporter Jierong Zhou                                                                                                                                                                                                                                                                    
OntoNotes_filtered_with_Choi_test       	Van Nuys , Calif.                                                                                   	Workers at plants in                                                                                                                                                                                                                                                                                        	|, Oklahoma City and Pontiac , Mich. , were told their facilities are no longer being considered to build the next generation of the Pontiac Firebird and Chevrolet Camaro muscle cars .                                                                                                                     
OntoNotes_filtered_with_Choi_test       	Santa Monica , Calif                                                                                	`` The last crash taught institutional investors that they have to be long - term holders , and that they ca n't react to short - term events , good or bad , '' said Stephen L. Nesbitt , senior vice president for the pension consultants Wilshire Associates in                                         	|.                                                                                                                                                                                                                                                                                                           
OntoNotes_filtered_with_Choi_test       	Hong Kong                                                                                           	This is the inevitable outcome of the UK terminating its rule over                                                                                                                                                                                                                                          	|at the designated time .                                                                                                                                                                                                                                                                                    
OntoNotes_filtered_with_Choi_test       	Catamarca City                                                                                      	The handover ceremony for China mechanical products purchased by Argentina 's LaRioja Province using a loan provided by the Bank of China , was held today in                                                                                                                                               	|of this province .                                                                                                                                                                                                                                                                                          
OntoNotes_filtered_with_Choi_test       	Hollywood                                                                                           	Harry is now a 57 - year - old writer , whose continuing flirtation with drugs and marginal types in                                                                                                                                                                                                        	|and New York seems quaintly out - of - synch .                                                                                                                                                                                                                                                              
OntoNotes_filtered_with_Choi_test       	Huichun                                                                                             	Shuoren Jin , mayor of                                                                                                                                                                                                                                                                                      	|in Jilin Province , said : '' International societies ' support and participation play an active and key role in Huichun 's development and opening up .                                                                                                                                                    
OntoNotes_filtered_with_Choi_test       	Seoul                                                                                               	Bozell Cheil Corp. , as the new agency will be called , will be based in                                                                                                                                                                                                                                    	|and is 70 % owned by Samsung and 30 % owned by Bozell .                                                                                                                                                                                                                                                     
OntoNotes_filtered_with_Choi_test       	Macau                                                                                               	They have made important contributions to the prosperity and stability of                                                                                                                                                                                                                                   	|.                                                                                                                                                                                                                                                                                                           
OntoNotes_filtered_with_Choi_test       	Beijing 's                                                                                          	The Wangma Computer Company , a high science and technology enterprise in                                                                                                                                                                                                                                   	|Zhongguan village , held a press conference in the Great Hall Of the People on January 4th and announced : to meet urgent demands for office automation of all Party departments , the government and the army , it was decided to '' open '' a whole set of top - quality products of Wangma Software , which can profit more than one million yuan , to the home , all in the way to non-encoded floppy disks , exempting technical fees , so that all domestic computer users can copy and use .
OntoNotes_filtered_with_Choi_test       	Huichun in Jilin Province                                                                           	Shuoren Jin , mayor of                                                                                                                                                                                                                                                                                      	|, said : '' International societies ' support and participation play an active and key role in Huichun 's development and opening up .                                                                                                                                                                      
