BBN_train                               	total                                                                                               	His company ( annual sales : about $ 25 million ) may suffer a costly blow -- losing an estimated 10 % of                                                                                                                                                                                                   	|sales -- if Sony ( annual sales : about $ 16 billion ) prevails .                                                                                                                                                                                                                                           
BBN_train                               	cited                                                                                               	The majority                                                                                                                                                                                                                                                                                                	|Mr. Masson 's remark `` It 's me alone ... against the rest of the analytic world '' as warrant for the Malcolm fabrication .                                                                                                                                                                               
BBN_train                               	THE YOM KIPPUR WAR                                                                                  	                                                                                                                                                                                                                                                                                                            	|, WHEN EGYPT CRASHED into Israel on Oct. 6 , 1973 , the holiest day in the Jewish calendar , lasted barely a month .                                                                                                                                                                                        
BBN_train                               	Black Monday                                                                                        	STOCKS AND BONDS SURGED on the second anniversary of                                                                                                                                                                                                                                                        	|as a favorable inflation report prompted speculation of lower interest rates .                                                                                                                                                                                                                              
BBN_train                               	talks                                                                                               	The Arab League-sponsored pact , drafted during three weeks of                                                                                                                                                                                                                                              	|at the Saudi Arabian resort of Taif , includes Syrian proposals for at least a partial troop pullout from Lebanon , and guarantees an equal number of seats for Moslems and Christians in the Parliament .                                                                                                  
BBN_train                               	total                                                                                               	However , the                                                                                                                                                                                                                                                                                               	|value declined for deals of $ 100 million and up .                                                                                                                                                                                                                                                          
BBN_train                               	fall                                                                                                	In February 1988 , for example , Merrill Lynch 's weekly commentary announced that `` the economy is likely to                                                                                                                                                                                              	|into recession in early 1989 . ''                                                                                                                                                                                                                                                                           
BBN_train                               	ended                                                                                               	In fact , Fireman 's Fund Corp. , which                                                                                                                                                                                                                                                                     	|the day off 50 cents to $ 36.50 , said earthquake damage would slightly hurt fourth-quarter profit .                                                                                                                                                                                                        
BBN_train                               	August                                                                                              	Spending by average Japanese households in                                                                                                                                                                                                                                                                  	|fell an adjusted 1.9 % from a year earlier , the Statistics Bureau of the Prime Minister 's Office said .                                                                                                                                                                                                   
BBN_train                               	yesterday                                                                                           	Late                                                                                                                                                                                                                                                                                                        	|in New York , the dollar rose to 142.75 yen from 141.80 yen Monday , but fell to 1.8667 marks from 1.8685 marks .                                                                                                                                                                                           
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------BBN_test                                	Olympics                                                                                            	Mr. Pilson says baseball and the                                                                                                                                                                                                                                                                            	|may help CBS move up to No . 2 in the household ratings race , putting pizazz back into the network 's image .                                                                                                                                                                                              
BBN_test                                	Game Three                                                                                          	The pithiest testimony to their domination of the just-concluded tournament came from Giants ' manager Roger Craig after his team had fallen in                                                                                                                                                             	|to a five-home-run barrage that tied a 61-year-old Series record .                                                                                                                                                                                                                                          
BBN_test                                	Black Monday                                                                                        	THE STOCK MARKET AVOIDED a repeat of                                                                                                                                                                                                                                                                        	|as prices recovered from an early slide , spurred by bargain-hunting institutions and program traders .                                                                                                                                                                                                     
BBN_test                                	Black Monday                                                                                        	Ever since that fearful                                                                                                                                                                                                                                                                                     	|, they 've been tirelessly wooing wary individual investors -- trying to convince them that Oct. 19 , 1987 , was a fluke and that the stock market really is a safe place for average Americans to put their hard-earned dollars .                                                                          
BBN_test                                	Series                                                                                              	The stat to reckon with here says that about three of four clubs -LRB- 29 of 39 -RRB- that took 2-0                                                                                                                                                                                                         	|leads went on to win it all .                                                                                                                                                                                                                                                                               
BBN_test                                	great Depression                                                                                    	The crash of 1929 was followed by a substantial recovery before the                                                                                                                                                                                                                                         	|and awful bear market of the 1930s began .                                                                                                                                                                                                                                                                  
BBN_test                                	Hurricane Hugo                                                                                      	The declines were particularly pronounced in the Northeast and in the South , where                                                                                                                                                                                                                         	|was a factor .                                                                                                                                                                                                                                                                                              
BBN_test                                	Black Monday                                                                                        	`` It was -LCB- like -RCB- the Friday before                                                                                                                                                                                                                                                                	|'' two years ago .                                                                                                                                                                                                                                                                                          
BBN_test                                	Series                                                                                              	The best team won this                                                                                                                                                                                                                                                                                      	|, which is more unusual than it may sound .                                                                                                                                                                                                                                                                 
BBN_test                                	World Series                                                                                        	But ad executives who negotiated the deal say that works out to only $ 275,000 for a 30-second ad in the                                                                                                                                                                                                    	|through 1993 -- 17 % less than what ABC is charging for the Series this month .                                                                                                                                                                                                                             
BBN_test                                	World War II                                                                                        	Although its palatial residence was destroyed by bombs during                                                                                                                                                                                                                                               	|, the Rothschilds ' place in Frankfurt 's history is still recalled by the city park and a street bearing the Rothschild name .                                                                                                                                                                             
BBN_test                                	Depression                                                                                          	That rose to nearly 18 % during the                                                                                                                                                                                                                                                                         	|, and has n't changed much since .                                                                                                                                                                                                                                                                          
BBN_test                                	Winter Games                                                                                        	In the mid-1980s , after ABC had just bid a record $ 309 million for the 1988                                                                                                                                                                                                                               	|, he sniped at rivals for paying reckless prices .                                                                                                                                                                                                                                                          
BBN_test                                	World War I                                                                                         	The family was in Allied countries during both                                                                                                                                                                                                                                                              	|and the long period of economic strife of the 1920s .                                                                                                                                                                                                                                                       
BBN_test                                	Winter Games                                                                                        	Mr. Pilson gave him one : He bid $ 243 million for rights to the 1992                                                                                                                                                                                                                                       	|in Albertville , France ; ABC and NBC would n't bid even $ 200 million .                                                                                                                                                                                                                                    
BBN_test                                	Winter Games                                                                                        	The                                                                                                                                                                                                                                                                                                         	|outlook also is mixed .                                                                                                                                                                                                                                                                                     
BBN_test                                	Winter Olympics                                                                                     	And the                                                                                                                                                                                                                                                                                                     	|will air during the February `` sweeps , '' when ratings are used to set ad rates for local stations .                                                                                                                                                                                                      
BBN_test                                	Hurricane Hugo                                                                                      	The state had sought as much as $ 4.1 billion in relief , but yesterday the House approved a more general scaled-back measure calling for $ 2.85 billion in aid , the bulk of which would go to California , with an unspecified amount going to regions affected by                                        	|.                                                                                                                                                                                                                                                                                                           
BBN_test                                	Series                                                                                              	`` Give me four or five more                                                                                                                                                                                                                                                                                	|with these guys , and I do n't care if I ever win a Cy Young , '' he said , in reference to baseball 's best-pitcher award .                                                                                                                                                                                
BBN_test                                	World War II                                                                                        	One chapter opens : ``                                                                                                                                                                                                                                                                                      	|was not one of France 's glorious moments . ''                                                                                                                                                                                                                                                              
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------FIGER_filtered_with_BBN_test            	The Fellows Forum                                                                                   	                                                                                                                                                                                                                                                                                                            	|, concerned in part with the induction of newly elected fellows , is just one event of the association ’s annual meeting .                                                                                                                                                                                  
FIGER_filtered_with_BBN_test            	Bhangra Bash                                                                                        	“                                                                                                                                                                                                                                                                                                           	|used to be our biggest event because we would fly in people from all of the country , but as one RSO , it was way too hard for us to put it on as a group , ” Ramachandra said .                                                                                                                            
FIGER_filtered_with_BBN_test            	House Committee on Judiciary ’s public hearing                                                      	UW law students Amy Shebeck , Thomas Hudson , Caroline Bercier , and Michael Windle will testify during the                                                                                                                                                                                                 	|today .                                                                                                                                                                                                                                                                                                     
FIGER_filtered_with_BBN_test            	CES                                                                                                 	Speaking at                                                                                                                                                                                                                                                                                                 	|, both companies have no plans to jump to the new formats in the near future , and Lexar pointed out that its new 1000x card is faster than Sony 's XQD .                                                                                                                                                   
FIGER_filtered_with_BBN_test            	Fellows Forum                                                                                       	Newly elected fellows are invited to attend the annual                                                                                                                                                                                                                                                      	|, held this year in Vancouver , B.C .                                                                                                                                                                                                                                                                       
FIGER_filtered_with_BBN_test            	Global Social Entrepreneurship Competition                                                          	“ Be the Change ” committee members used the Foster School of Business ’ annual                                                                                                                                                                                                                             	|( GSEC ) as a model to design their competition .                                                                                                                                                                                                                                                           
FIGER_filtered_with_BBN_test            	CES                                                                                                 	Also at                                                                                                                                                                                                                                                                                                     	|, the SD Association announced a new standard for WiFi communications across all the SD cards .                                                                                                                                                                                                             
FIGER_filtered_with_BBN_test            	Bhangra Bash                                                                                        	Ramachandra said she believes these resources would help fund more constituents ’ events , such as                                                                                                                                                                                                          	|.                                                                                                                                                                                                                                                                                                           
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------OntoNotes_filtered_with_BBN_test        	the 1929 crash                                                                                      	After                                                                                                                                                                                                                                                                                                       	|, Herbert Hoover said : `` The fundamental business of the country ... is on a sound and prosperous basis .                                                                                                                                                                                                 
OntoNotes_filtered_with_BBN_test        	the joint meeting                                                                                   	Xuming Zhang recently said at                                                                                                                                                                                                                                                                               	|for the fifth anniversary of the establishment of the Chinese Enterprise Association in Macau , that Macau 's inland investment enterprises , from small to large and from weak to strong , have developed into an important force in Macau 's economic domain .                                            
OntoNotes_filtered_with_BBN_test        	the East China Export Goods Trade Fair                                                              	It is reported that in the past 5 years , Shanghai , through such methods as actively purchasing export goods from other provinces and cities and by holding activities such as                                                                                                                             	|, etc. , has strengthened its influence as a port city on the entire country .                                                                                                                                                                                                                              
OntoNotes_filtered_with_BBN_test        	the meeting                                                                                         	President of the Foreign Affairs Institute Shuqin Liu was also present at                                                                                                                                                                                                                                   	|.                                                                                                                                                                                                                                                                                                           
OntoNotes_filtered_with_BBN_test        	the activity                                                                                        	The Tunisian government thinks that this bombing again shows that                                                                                                                                                                                                                                           	|of the multi-national forces has exceeded authorized limits set by the United Nations Security Council decision .                                                                                                                                                                                           
OntoNotes_filtered_with_BBN_test        	a visit                                                                                             	They will also go to Shanghai for                                                                                                                                                                                                                                                                           	|.                                                                                                                                                                                                                                                                                                           
OntoNotes_filtered_with_BBN_test        	the ceremony                                                                                        	Minister Xuding Bao and Governor Masa delivered ebullient speeches in                                                                                                                                                                                                                                       	|, both hoped to use this as a start to expand trade between the two countries and to promote development in other areas of the two countries .                                                                                                                                                              
OntoNotes_filtered_with_BBN_test        	military actions                                                                                    	Ashitaer , the UN representative of Yemen strongly condemned this incident and asked the United Nations Security Council to be responsible for the passed resolution No. 678 which permits                                                                                                                  	|against Iraq .                                                                                                                                                                                                                                                                                              
OntoNotes_filtered_with_BBN_test        	the fifth anniversary of the establishment of the Chinese Enterprise Association in Macau           	Xuming Zhang recently said at the joint meeting for                                                                                                                                                                                                                                                         	|, that Macau 's inland investment enterprises , from small to large and from weak to strong , have developed into an important force in Macau 's economic domain .                                                                                                                                          
OntoNotes_filtered_with_BBN_test        	dismissal                                                                                           	`` If true , '' the court wrote , `` this contention would justify                                                                                                                                                                                                                                          	|of these actions on prudential grounds . ''                                                                                                                                                                                                                                                                 
OntoNotes_filtered_with_BBN_test        	the period from the Chinese Dragon Boat Festival to the Double Ninth Festival                       	The water used comes from the Chishui river that flows over cinnabar quality soil and selectively uses such locally produced raw materials as sorghum , high quality wheat , etc. and is fermented during                                                                                                   	|.                                                                                                                                                                                                                                                                                                           
OntoNotes_filtered_with_BBN_test        	this incident                                                                                       	Ashitaer , the UN representative of Yemen strongly condemned                                                                                                                                                                                                                                                	|and asked the United Nations Security Council to be responsible for the passed resolution No. 678 which permits military actions against Iraq .                                                                                                                                                             
OntoNotes_filtered_with_BBN_test        	the first national talent and technology exchange fair                                              	Fourteen cities such as Guangzhou , Shenzhen , etc. went to Beijing for                                                                                                                                                                                                                                     	|, where they established a total of 100 employment booths .                                                                                                                                                                                                                                                 
OntoNotes_filtered_with_BBN_test        	the conflict                                                                                        	Tunisia has again appealed to international conscience to take action , to stop the blood and end the destructive war , and create conditions for a peaceful settlement of                                                                                                                                  	|.                                                                                                                                                                                                                                                                                                           
OntoNotes_filtered_with_BBN_test        	ebullient speeches                                                                                  	Minister Xuding Bao and Governor Masa delivered                                                                                                                                                                                                                                                             	|in the ceremony , both hoped to use this as a start to expand trade between the two countries and to promote development in other areas of the two countries .                                                                                                                                              
OntoNotes_filtered_with_BBN_test        	warfare                                                                                             	He points out , '' At a time when we are on the threshold of the 21st century ,                                                                                                                                                                                                                             	|no longer has any use .                                                                                                                                                                                                                                                                                     
OntoNotes_filtered_with_BBN_test        	the Russian Tumen River Region Negotiation Conference                                               	In the near future ,                                                                                                                                                                                                                                                                                        	|will also be held in Vladivostok .                                                                                                                                                                                                                                                                          
OntoNotes_filtered_with_BBN_test        	the Chinese Dragon Boat Festival                                                                    	The water used comes from the Chishui river that flows over cinnabar quality soil and selectively uses such locally produced raw materials as sorghum , high quality wheat , etc. and is fermented during the period from                                                                                   	|to the Double Ninth Festival .                                                                                                                                                                                                                                                                              
OntoNotes_filtered_with_BBN_test        	talks                                                                                               	Vice Foreign Affairs Minister Huaqiu Liu held                                                                                                                                                                                                                                                               	|with Kamyao here on the 29th .                                                                                                                                                                                                                                                                              
OntoNotes_filtered_with_BBN_test        	the visit by vice Foreign Affairs Minister Kamyao and the political consultations in progress       	In his meeting with the Uruguayan guests , Qichen Qian expressed welcome over                                                                                                                                                                                                                               	|.                                                                                                                                                                                                                                                                                                           
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------Choi_filtered_with_BBN_test             	their professional football careers end                                                             	Four Panthers subsequently found roster spots on AFL and NFL teams to complete the 1926 season , while six who had played in the NFL had                                                                                                                                                                    	|with the demise of the Cleveland Panthers .                                                                                                                                                                                                                                                                 
Choi_filtered_with_BBN_test             	a major jazz festival                                                                               	He launched                                                                                                                                                                                                                                                                                                 	|in New York in 1972 , a year after a riot by gate-crashers temporarily forced the cancellation of the Newport festival .                                                                                                                                                                                    
Choi_filtered_with_BBN_test             	it                                                                                                  	Directed by Mike Ockrent , and choreographed by Susan Stroman ,                                                                                                                                                                                                                                             	|opened on April 28 , 1996 .                                                                                                                                                                                                                                                                                 
Choi_filtered_with_BBN_test             	a momentum for radical change that becomes difficult , if not impossible , to control               	As other repressive governments , particularly Poland and the Soviet Union , have recently discovered , initial steps to open up society can create                                                                                                                                                         	|.                                                                                                                                                                                                                                                                                                           
Choi_filtered_with_BBN_test             	several major Christian music festivals over the next few months                                    	Ayiesha Woods performed at                                                                                                                                                                                                                                                                                  	|, including Creation East , Creation West , and Lifefest , as well as the 2008 Christian Music Boat Cruise .                                                                                                                                                                                                
Choi_filtered_with_BBN_test             	the race                                                                                            	It turned out to be a disastrous race for the Ford Performance Racing team , with Steven Richards also involved in an accident , resulting in a bent steering arm and subsequent retirement from                                                                                                            	|.                                                                                                                                                                                                                                                                                                           
Choi_filtered_with_BBN_test             	the tradition                                                                                       	`` It was only after I had kids of my own that I began to rethink the importance of New Year-partly out of nostalgia , and partly to pass                                                                                                                                                                   	|on to my children , `` admits Yang .                                                                                                                                                                                                                                                                        
Choi_filtered_with_BBN_test             	the battle , which was clearly propaganda                                                           	Napoleon claimed that the French had only 7,700 casualties in                                                                                                                                                                                                                                               	|.                                                                                                                                                                                                                                                                                                           
Choi_filtered_with_BBN_test             	the match                                                                                           	Barcelona almost won                                                                                                                                                                                                                                                                                        	|in injury time when substitute Pedro cut in from the left and curled a shot with his right foot that rebounded back off the inside of the far post .                                                                                                                                                        
Choi_filtered_with_BBN_test             	Such features                                                                                       	-LSB- buabua -RSB-                                                                                                                                                                                                                                                                                          	|make the present economic activities in our country particularly heavy .                                                                                                                                                                                                                                    
Choi_filtered_with_BBN_test             	a shot                                                                                              	And Russia , the group 's host and ideological provocateur , is especially interested in using the summit meeting to fire                                                                                                                                                                                   	|across Washington 's bow .                                                                                                                                                                                                                                                                                  
Choi_filtered_with_BBN_test             	court on Tuesday                                                                                    	In                                                                                                                                                                                                                                                                                                          	|, one of the lawyers for the defense defended all the secrecy saying , `` lives are in danger . ''                                                                                                                                                                                                          
Choi_filtered_with_BBN_test             	incident                                                                                            	Wednesday 's ceremony proceeded without                                                                                                                                                                                                                                                                     	|, though recent improvements around Jaffa Gate , including an upscale pedestrian mall , have fueled Palestinian concerns that city officials are trying to shift commerce away from the bustling Damascus Gate .                                                                                            
Choi_filtered_with_BBN_test             	The battle                                                                                          	                                                                                                                                                                                                                                                                                                            	|was in fact two separate engagements , one at Pontvallain and a smaller one at the nearby town of Vaas ; they are sometimes named as separate battles .                                                                                                                                                     
Choi_filtered_with_BBN_test             	even minor offenses                                                                                 	`` People are getting deported for                                                                                                                                                                                                                                                                          	|like not having an ID or a driver 's license , '' said Cesar Espinosa of America for All , a group that helps immigrants in Houston .                                                                                                                                                                       
Choi_filtered_with_BBN_test             	a story                                                                                             	Steve Jurvetson , managing director of the Silicon Valley venture capital firm Draper , Fisher , and Jurvetson , says : `` An executive summary is n't a financial contract ; it 's                                                                                                                         	|.                                                                                                                                                                                                                                                                                                           
Choi_filtered_with_BBN_test             	the task                                                                                            	The Tu-95MS strategic bombers have successfully completed                                                                                                                                                                                                                                                   	|during the 11-hour flight by patrolling over neutral waters , Vladimir Drik was quoted as saying by the RIA Novosti news agency .                                                                                                                                                                           
Choi_filtered_with_BBN_test             	its fairly clear scale advantage                                                                    	A company managed as a chain , due to                                                                                                                                                                                                                                                                       	|and a standardized operational model , which boosts the company 's risk-resistant capabilities and improves its degree of organization , develops at a stunning speed .                                                                                                                                     
Choi_filtered_with_BBN_test             	the death of her husband , Martin ,                                                                 	Ginsburg said the court 's demanding work helped her cope with                                                                                                                                                                                                                                              	|in June .                                                                                                                                                                                                                                                                                                   
Choi_filtered_with_BBN_test             	results                                                                                             	Mr. Oriani said his skepticism of the Utah claims was initially confirmed when his first experiments last spring failed to produce                                                                                                                                                                          	|.                                                                                                                                                                                                                                                                                                           
