OntoNotes_train                         	Joppa                                                                                               	Peter stayed in                                                                                                                                                                                                                                                                                             	|for many days at the home of a man named Simon , who was a leatherworker .                                                                                                                                                                                                                                  
FIGER_filtered_with_OntoNotes_test      	Haiti                                                                                               	This is something American photographer Maggie Steber ( who has been shooting in                                                                                                                                                                                                                            	|for 30 years ) is trying to change through organizations like the nonprofit FotoKonbit , where she is an adviser .                                                                                                                                                                                          
FIGER_filtered_with_OntoNotes_test      	Seattle                                                                                             	Jung San So , 55 , of                                                                                                                                                                                                                                                                                       	|; suspected of being the current club manager .                                                                                                                                                                                                                                                             
FIGER_filtered_with_OntoNotes_test      	Haitians                                                                                            	To put cameras in the hands of                                                                                                                                                                                                                                                                              	|give them the power to show us what they think is important . ”                                                                                                                                                                                                                                             
FIGER_filtered_with_OntoNotes_test      	United States                                                                                       	Kim offered $ 15,000 in exchange for a heads-up on law enforcement inspections and cooperation from immigration authorities to allow undocumented Korean women to come to the                                                                                                                               	|, prosecutors said .                                                                                                                                                                                                                                                                                        
FIGER_filtered_with_OntoNotes_test      	South Asian                                                                                         	“ The                                                                                                                                                                                                                                                                                                       	|student groups and cultures are very different than the East Asian student groups and cultures , and I know people want a separate commission to better fit the needs of these groups , ” Ramachandra said .                                                                                                
FIGER_filtered_with_OntoNotes_test      	Bozeman                                                                                             	When he left the Army , Spencer got a job in                                                                                                                                                                                                                                                                	|, where he used acupuncture to save a dog that could n’t walk anymore .                                                                                                                                                                                                                                     
FIGER_filtered_with_OntoNotes_test      	Vancouver                                                                                           	Newly elected fellows are invited to attend the annual Fellows Forum , held this year in                                                                                                                                                                                                                    	|, B.C .                                                                                                                                                                                                                                                                                                     
FIGER_filtered_with_OntoNotes_test      	Seattle                                                                                             	" My direction to city staff and our experts is to focus on two goals : 1 ) Seriously explore and consider the opportunity , and 2 ) Ensure that taxpayers and the city of                                                                                                                                  	|are protected , particularly in light of the public 's direction through I-91 , " McGinn said in an emailed statement .                                                                                                                                                                                     
FIGER_filtered_with_OntoNotes_test      	Whitney Museum                                                                                      	Marek Wieczorek , UW associate professor of art history , remembers his first exhibition well : In 1989 , he curated “ The Desire of the Museum ” at the                                                                                                                                                    	|in New York .                                                                                                                                                                                                                                                                                               
FIGER_filtered_with_OntoNotes_test      	Concordia University                                                                                	He has a bachelor ’s degree in political science and sociology from Northern Illinois University and other credit hours in microeconomics from                                                                                                                                                              	|in Canada .                                                                                                                                                                                                                                                                                                 
FIGER_filtered_with_OntoNotes_test      	Minnesota                                                                                           	He was a caseworker in                                                                                                                                                                                                                                                                                      	|but left the job because he found himself perpetually sick from the environments in which he worked .                                                                                                                                                                                                       
FIGER_filtered_with_OntoNotes_test      	AT&T Center                                                                                         	Hirsh , managing partner of Stafford Sports in New Jersey , has advised the San Antonio Spurs through construction of their new arena , the                                                                                                                                                                 	|.                                                                                                                                                                                                                                                                                                           
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------BBN_filtered_with_OntoNotes_test        	East Bay                                                                                            	At the San Mateo Bridge , which connects the San Francisco peninsula with the                                                                                                                                                                                                                               	|, police were surprised at the speed with which traffic moved .                                                                                                                                                                                                                                             
BBN_filtered_with_OntoNotes_test        	Asia                                                                                                	Prime Minister Lee Kuan Yew , Singapore 's leader and one of                                                                                                                                                                                                                                                	|'s leading statesmen for 30 years , recently announced his intention to retire next year -- though not necessarily to end his influence .                                                                                                                                                                   
BBN_filtered_with_OntoNotes_test        	Central America                                                                                     	There , Mr. Shevardnadze felt legitimized to unveil his own peace plan : The U.S.S.R. would prolong a suspension of arms shipments to Nicaragua after the February election if the U.S. did likewise with its allies in                                                                                     	|.                                                                                                                                                                                                                                                                                                           
BBN_filtered_with_OntoNotes_test        	Baltic                                                                                              	The Swedish publishers of a new Estonian-language newspaper rushed an extra edition across the                                                                                                                                                                                                              	|on Oct. 10 after the first run sold out in one day .                                                                                                                                                                                                                                                        
BBN_filtered_with_OntoNotes_test        	Querecho Plains                                                                                     	Out here on the                                                                                                                                                                                                                                                                                             	|of New Mexico , however , the mood is more upbeat ; trucks rumble along the dusty roads and burly men in hard hats sweat and swear through the afternoon sun .                                                                                                                                              
BBN_filtered_with_OntoNotes_test        	Strait of Gibraltar                                                                                 	Algeria also wants to build a pipeline through Morocco and across the                                                                                                                                                                                                                                       	|to supply Spain , France and West Germany with up to 15 billion cubic meters a year by the late 1990s .                                                                                                                                                                                                     
BBN_filtered_with_OntoNotes_test        	Northern California                                                                                 	WELLS FARGO & amp ; CO. , San Francisco , bank holding company , annual revenue $ 4.9 billion , NYSE , minor damage at headquarters , 12 branches out of 170 in                                                                                                                                             	|sustained structural damage that will preclude them from opening in the near future , 45 locations with at least one automatic teller machine inoperable , central computer systems are operating , no injuries .                                                                                           
BBN_filtered_with_OntoNotes_test        	Rose Garden                                                                                         	Labor and business leaders , quoted at the White House                                                                                                                                                                                                                                                      	|rites , hailed its provisions for insuring corporate pension benefits .                                                                                                                                                                                                                                     
BBN_filtered_with_OntoNotes_test        	Western Hemisphere                                                                                  	The agreement was announced by Costa Rican President Oscar Arias Friday , as President Bush and other leaders from the                                                                                                                                                                                      	|gathered in the Central American nation for a celebration of democracy .                                                                                                                                                                                                                                    
BBN_filtered_with_OntoNotes_test        	Europe                                                                                              	Among them , he says , is the family 's traditional ties to old wealth and decision-makers in banking and industry throughout                                                                                                                                                                               	|and beyond .                                                                                                                                                                                                                                                                                                
BBN_filtered_with_OntoNotes_test        	Northeast                                                                                           	Foreclosures and other signs of financial distress , most often associated with the real estate market in the Southwest , are surfacing in the suburban office market of the once thriving                                                                                                                  	|.                                                                                                                                                                                                                                                                                                           
BBN_filtered_with_OntoNotes_test        	Scandinavia                                                                                         	The merger would create                                                                                                                                                                                                                                                                                     	|'s seventh largest bank , with combined assets of 210 billion Norwegian kroner -LRB- $ 30.3 billion -RRB- .                                                                                                                                                                                                 
BBN_filtered_with_OntoNotes_test        	Northeast                                                                                           	It also found them rising much more in the                                                                                                                                                                                                                                                                  	|than elsewhere .                                                                                                                                                                                                                                                                                            
BBN_filtered_with_OntoNotes_test        	Asia                                                                                                	`` There 's an understanding on the part of the U.S. that Japan has to expand its functions '' in                                                                                                                                                                                                           	|, says J. Michael Farren , undersecretary of commerce for trade .                                                                                                                                                                                                                                           
BBN_filtered_with_OntoNotes_test        	Central America                                                                                     	`` The -LCB- influence of the -RCB- U.S. is not being felt in                                                                                                                                                                                                                                               	|; Washington 's decisions do not respond to a policy , and are divorced from reality , '' says Fernando Volio , a Costa Rican congressman and former foreign minister .                                                                                                                                     
BBN_filtered_with_OntoNotes_test        	Bay-area                                                                                            	LONGS DRUG STORES INC. , Walnut Creek , drugstore chain , annual sales of $ 1.9 billion , NYSE , had only minor damage and only four of its 75                                                                                                                                                              	|stores , all in the Santa Cruz area , were closed .                                                                                                                                                                                                                                                         
BBN_filtered_with_OntoNotes_test        	South America                                                                                       	Electrical products ' sales fell to $ 496.7 million from $ 504.5 million with higher world-wide lighting volume offset by lower domestic prices and the impact of weaker currencies in Europe and                                                                                                           	|.                                                                                                                                                                                                                                                                                                           
BBN_filtered_with_OntoNotes_test        	Europe                                                                                              	SKF said demand for the group 's main product , rolling bearings , remained favorable in                                                                                                                                                                                                                    	|, which accounts for slightly more than two-thirds of group sales .                                                                                                                                                                                                                                         
BBN_filtered_with_OntoNotes_test        	Silicon Valley                                                                                      	                                                                                                                                                                                                                                                                                                            	|heaved a sigh of relief yesterday .                                                                                                                                                                                                                                                                         
BBN_filtered_with_OntoNotes_test        	San Francisco Bay area                                                                              	As aftershocks shook the                                                                                                                                                                                                                                                                                    	|, rescuers searched through rubble for survivors of Tuesday 's temblor , and residents picked their way through glass-strewn streets .                                                                                                                                                                      
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------Choi_filtered_with_OntoNotes_test       	A fifth synagogue                                                                                   	                                                                                                                                                                                                                                                                                                            	|is in Magada village -LRB- Namutumba District -RRB- , approximately 70 & nbsp ; km distant .                                                                                                                                                                                                                
Choi_filtered_with_OntoNotes_test       	another site on the east coast                                                                      	In April the North fired a Taepodong-2 rocket over Japan from                                                                                                                                                                                                                                               	|.                                                                                                                                                                                                                                                                                                           
Choi_filtered_with_OntoNotes_test       	Cyrenaica                                                                                           	The British Operation Acrobat was initiated to drive the DAK back to Tripoli , but a quick counter offensive by Rommel surprised the British and pushed them back out of                                                                                                                                    	|.                                                                                                                                                                                                                                                                                                           
Choi_filtered_with_OntoNotes_test       	The city                                                                                            	                                                                                                                                                                                                                                                                                                            	|became part of the independent nation of Kenya in the 20th century .                                                                                                                                                                                                                                        
Choi_filtered_with_OntoNotes_test       	Lander                                                                                              	At                                                                                                                                                                                                                                                                                                          	|I take a break and have lunch at another Pizza Hut .                                                                                                                                                                                                                                                        
Choi_filtered_with_OntoNotes_test       	several European countries                                                                          	Investors have voiced concern about the high levels of public debt and deficits in                                                                                                                                                                                                                          	|, dragging down the markets and sparking wider worries about the outlook for economic growth in Europe .                                                                                                                                                                                                    
Choi_filtered_with_OntoNotes_test       	Taiwan 's big enterprises and consortia                                                             	Fujian Province recently put forth that this year it will vigorously promote Fujian-Taiwan economic and trade cooperation , to further expand the extent of business invitations to Taiwan , to strengthen connections with                                                                                 	|, to strive for a number of large Taiwanese capital projects to invest in Fujian , and to vigorously develop trade to Taiwan and to develop fishing labor service cooperation with Taiwan .                                                                                                                 
Choi_filtered_with_OntoNotes_test       	it                                                                                                  	" Serbia is no longer a technological corner of the world , because                                                                                                                                                                                                                                         	|is becoming part of a technically modern world , " he said .                                                                                                                                                                                                                                                
Choi_filtered_with_OntoNotes_test       	Cerros de Quiman                                                                                    	It runs perpendicular to the Andes in an east-west direction from Mocho-Choshuenco volcano to                                                                                                                                                                                                               	|.                                                                                                                                                                                                                                                                                                           
Choi_filtered_with_OntoNotes_test       	China                                                                                               	It is predicted that the demand for crude oil in the Asian market , excluding                                                                                                                                                                                                                               	|and Japan , would decrease by 230,000 barrels over the previously estimated daily average of 9.39 million barrels .                                                                                                                                                                                         
Choi_filtered_with_OntoNotes_test       	a railway station located on the Norway-Sweden border at Riksgransen , one kilometer into Sweden    	Riksgransen Station -LRB- Riksgrensen stasjon , Riksgransen station -RRB- is                                                                                                                                                                                                                                	|.                                                                                                                                                                                                                                                                                                           
Choi_filtered_with_OntoNotes_test       	Cherokee County                                                                                     	                                                                                                                                                                                                                                                                                                            	|is one of the fastest growing counties in the south as well , mainly because of the rapid growth of both Woodstock and Canton .                                                                                                                                                                             
Choi_filtered_with_OntoNotes_test       	Frankfurt                                                                                           	Shares also closed sharply lower across Europe , particularly in                                                                                                                                                                                                                                            	|, although London and a few other markets recovered some ground after stocks began to rebound in New York .                                                                                                                                                                                                 
Choi_filtered_with_OntoNotes_test       	the Shire of Northern Grampians                                                                     	The town is in                                                                                                                                                                                                                                                                                              	|and on the Sunraysia Highway , 232kmmi north west of the state capital of Melbourne .                                                                                                                                                                                                                       
Choi_filtered_with_OntoNotes_test       	Babylon                                                                                             	She returned via Germany , Syria and Mesopotamian sites in Iraq such as Ur and                                                                                                                                                                                                                              	|.                                                                                                                                                                                                                                                                                                           
Choi_filtered_with_OntoNotes_test       	The Arts Centre                                                                                     	                                                                                                                                                                                                                                                                                                            	|contains the Mrs Lee Choon Guan Concert Hall , Tan Cheng Siong Drama Theatre and the Lee Kong Chian Auditorium which can seat 830 , 270 and 1,200 respectively .                                                                                                                                            
Choi_filtered_with_OntoNotes_test       	Pakistan in a daring night raid by the US                                                           	May brought the news that Osama bin Laden was found and killed in                                                                                                                                                                                                                                           	|.                                                                                                                                                                                                                                                                                                           
Choi_filtered_with_OntoNotes_test       	the village of Polegate , near Eastbourne                                                           	It is twinned with                                                                                                                                                                                                                                                                                          	|in East Sussex , England .                                                                                                                                                                                                                                                                                  
Choi_filtered_with_OntoNotes_test       	Sandy Hook                                                                                          	Shortly thereafter the Signal Corps became alarmed that their radar work was being observed by German spies , and moved development to                                                                                                                                                                      	|at Fort Hancock , the coast artillery defense site for Lower New York Bay .                                                                                                                                                                                                                                 
Choi_filtered_with_OntoNotes_test       	Fordham Essex                                                                                       	                                                                                                                                                                                                                                                                                                            	|is arguably the most important of these towns , but all were held by Norman nobles in the 11th century .                                                                                                                                                                                                    
