BBN_train                               	New York                                                                                            	The charge on loans to depository institutions by the                                                                                                                                                                                                                                                       	|Federal Reserve Bank .                                                                                                                                                                                                                                                                                      
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------BBN_test                                	West Paterson                                                                                       	`` One of the difficulties people in real estate have is that each product is like starting a new company , or starting a new line in the fashion business , '' says L. Robert Lieb president of Mountain Development Corp. in                                                                              	|, N.J .                                                                                                                                                                                                                                                                                                     
BBN_test                                	Pretoria                                                                                            	Guerrilla leaders said                                                                                                                                                                                                                                                                                      	|was attempting to sabotage next week 's elections in Namibia .                                                                                                                                                                                                                                              
BBN_test                                	London                                                                                              	In 1796 , Mayer Amschel Rothschild founded Bankhaus M.A . Rothschild & Sons and later sent his four sons to                                                                                                                                                                                                 	|, Paris , Vienna and Naples to begin the bank 's expansion during the early 19th century .                                                                                                                                                                                                                  
BBN_test                                	San Jose                                                                                            	For the nine months , the                                                                                                                                                                                                                                                                                   	|, Calif.-based company said net income jumped 84 % to $ 26.9 million , or 69 cents a share , from $ 14.6 million , or 43 cents a share .                                                                                                                                                                    
BBN_test                                	Uncle Sam                                                                                           	A second uranium-recovery plant at                                                                                                                                                                                                                                                                          	|, La . , that produces more than 700,000 pounds of uranium annually , will continue to operate .                                                                                                                                                                                                            
BBN_test                                	Washington                                                                                          	`` We are crossing the river and we need a little more help to get to the other side , '' said Rodrigo Sotela , an economic affairs specialist at the Costa Rican Embassy in                                                                                                                                	|.                                                                                                                                                                                                                                                                                                           
BBN_test                                	Washington                                                                                          	`` The -LCB- National Energy Board -RCB- approval of the exports just waved the starting flag for the next stage , the rush to build facilities to transport the gas , '' said Bill Koerner , an analyst with Brady & Berliner , a                                                                          	|, D.C. , law firm .                                                                                                                                                                                                                                                                                         
BBN_test                                	Tokyo                                                                                               	In early trading in                                                                                                                                                                                                                                                                                         	|Tuesday , the Nikkei index rose 35.28 points to 35452.72 .                                                                                                                                                                                                                                                  
BBN_test                                	Lexington                                                                                           	The Thoroughbred Owners and Breeders Association , a                                                                                                                                                                                                                                                        	|, Ky.-based trade group , has launched `` seminars '' for `` potential investors '' at race tracks around the country .                                                                                                                                                                                     
BBN_test                                	Washington                                                                                          	Wilmer , Cutler & Pickering , the                                                                                                                                                                                                                                                                           	|, D.C. , law firm that spent over $ 1 million fighting the execution of mass-murderer Ted Bundy -- who eventually was executed -- has taken on another death penalty case before the Supreme Court , this time on the side of the family of four murder victims in Arkansas .                               
BBN_test                                	Bonn                                                                                                	Lisa Grishaw-Mueller in                                                                                                                                                                                                                                                                                     	|, Laura Colby in Milan , Tim Carrington in London and Carlta Vitzhum in Madrid contributed to this article .                                                                                                                                                                                                
BBN_test                                	Los Angeles                                                                                         	Unocal Corp. ,                                                                                                                                                                                                                                                                                              	|, said it and Petroleos de Venezuela S.A. would create a petroleum marketing and refining general partnership in the Midwest .                                                                                                                                                                              
BBN_test                                	San Francisco                                                                                       	EXXON Corp. , New York , oil company , NYSE , said its refinery northeast of                                                                                                                                                                                                                                	|was operating at a slightly reduced rate as a precaution in case of aftershocks .                                                                                                                                                                                                                           
BBN_test                                	Redwood City                                                                                        	But as Judge Thomas M. Jenkins donned his robes so he could give final approval , the major earthquake struck , its epicenter not far from his courtroom in                                                                                                                                                 	|, Calif .                                                                                                                                                                                                                                                                                                   
BBN_test                                	Managua                                                                                             	On Oct. 3 , following conversations with Secretary of State James Baker , Soviet Foreign Minister Eduard Shevardnadze arrived in                                                                                                                                                                            	|to acclaim `` Nicaragua 's great peace efforts . ''                                                                                                                                                                                                                                                         
BBN_test                                	New York                                                                                            	Average of top rates paid by major                                                                                                                                                                                                                                                                          	|banks on primary new issues of negotiable C.D.s , usually on amounts of $ 1 million and more .                                                                                                                                                                                                              
BBN_test                                	Los Angeles                                                                                         	Rockefeller is n't the first overseas purchase for Mitsubishi Estate -- it has already played a leading role in designing                                                                                                                                                                                   	|'s Citicorp Plaza .                                                                                                                                                                                                                                                                                         
BBN_test                                	Jerusalem                                                                                           	A court in                                                                                                                                                                                                                                                                                                  	|sentenced a Palestinian to 16 life terms for forcing a bus off a cliff July 6 , killing 16 people , Israeli radio reported .                                                                                                                                                                                
BBN_test                                	Phoenix                                                                                             	StatesWest Airlines ,                                                                                                                                                                                                                                                                                       	|, Ariz. , said it withdrew its offer to acquire Mesa Airlines because the Farmington , N.M. , carrier did n't respond to its offer by the close of business yesterday , a deadline StatesWest had set for a response .                                                                                      
BBN_test                                	Houston                                                                                             	-LRB- They are Grace Energy Corp. of Dallas and Marine Drilling Co. of                                                                                                                                                                                                                                      	|. -RRB-                                                                                                                                                                                                                                                                                                     
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------FIGER_filtered_with_BBN_test            	Seattle                                                                                             	Hirsh said many pieces remain to be put together to make a new arena work in                                                                                                                                                                                                                                	|.                                                                                                                                                                                                                                                                                                           
FIGER_filtered_with_BBN_test            	Seattle                                                                                             	The Sanctuary Art Center also has an education program , which is partnered with the Interagency Academy , an alternative school in                                                                                                                                                                         	|that allows young adults to get credit toward their GEDs by participating in the program .                                                                                                                                                                                                                  
FIGER_filtered_with_BBN_test            	Vancouver                                                                                           	Newly elected fellows are invited to attend the annual Fellows Forum , held this year in                                                                                                                                                                                                                    	|, B.C .                                                                                                                                                                                                                                                                                                     
FIGER_filtered_with_BBN_test            	Seattle                                                                                             	Jung San So , 55 , of                                                                                                                                                                                                                                                                                       	|; suspected of being the current club manager .                                                                                                                                                                                                                                                             
FIGER_filtered_with_BBN_test            	Seattle                                                                                             	" My direction to city staff and our experts is to focus on two goals : 1 ) Seriously explore and consider the opportunity , and 2 ) Ensure that taxpayers and the city of                                                                                                                                  	|are protected , particularly in light of the public 's direction through I-91 , " McGinn said in an emailed statement .                                                                                                                                                                                     
FIGER_filtered_with_BBN_test            	Seattle                                                                                             	“                                                                                                                                                                                                                                                                                                           	|is one of the capitals of global health , and yet there are n’t enough young people aware of the opportunities to do something positive with their lives and to actually have a career working in global health , ” said William Heisel , a representative at the Institute for Health Metrics and Evaluation ( IHME ) .
FIGER_filtered_with_BBN_test            	Ogdensburg                                                                                          	Barrett brought on Mary Rain of                                                                                                                                                                                                                                                                             	|as his co-counsel in the case at some point last year .                                                                                                                                                                                                                                                     
FIGER_filtered_with_BBN_test            	Federal Way                                                                                         	Kwang Frank Lee , 57 , of                                                                                                                                                                                                                                                                                   	|; accused of providing money to finance a bogus marriage tied to the scheme .                                                                                                                                                                                                                               
FIGER_filtered_with_BBN_test            	Federal Way                                                                                         	Also arrested Thursday were : Miyoung Roberts , 40 , of                                                                                                                                                                                                                                                     	|; accused of being the current madam at the club .                                                                                                                                                                                                                                                          
FIGER_filtered_with_BBN_test            	Seattle                                                                                             	The council knew nothing of Hirsh 's hiring , nor of the mayor 's discussions with a potential investment group that has acquired property in the Sodo District , until The Seattle Times in December was about to report that the city was examining an " opportunity " to bring an NBA team to            	|.                                                                                                                                                                                                                                                                                                           
FIGER_filtered_with_BBN_test            	Seattle                                                                                             	The Seattle Coalition on Homelessness counted 2,442 people sleeping on the streets of                                                                                                                                                                                                                       	|last year in its annual One Night Count .                                                                                                                                                                                                                                                                   
FIGER_filtered_with_BBN_test            	New York                                                                                            	Wieczorek first met Balth when he was still a graduate student in                                                                                                                                                                                                                                           	|.                                                                                                                                                                                                                                                                                                           
FIGER_filtered_with_BBN_test            	Auckland                                                                                            	The study is from the Unitec Institute of Technology ,                                                                                                                                                                                                                                                      	|, New Zealand .                                                                                                                                                                                                                                                                                             
FIGER_filtered_with_BBN_test            	Los Angeles                                                                                         	Investigators suspect Cho is in the                                                                                                                                                                                                                                                                         	|area .                                                                                                                                                                                                                                                                                                      
FIGER_filtered_with_BBN_test            	Port-au-Prince                                                                                      	Two years after a catastrophic earthquake occured near the capital of                                                                                                                                                                                                                                       	|, most of the images we see coming out of Haiti show damage and despair , and most come from foreign photographers .                                                                                                                                                                                        
FIGER_filtered_with_BBN_test            	Lake Placid                                                                                         	The move came late Friday afternoon after Scaringe dismissed Brian Barrett of                                                                                                                                                                                                                               	|as one of his defense attorneys .                                                                                                                                                                                                                                                                           
FIGER_filtered_with_BBN_test            	Safeway                                                                                             	McClain often does this as well — he likes to bake in his spare time and bring food for the employees at                                                                                                                                                                                                    	|as well as Real Change to show his appreciation .                                                                                                                                                                                                                                                           
FIGER_filtered_with_BBN_test            	San Antonio                                                                                         	The building was a partnership between the city and the Spurs , with                                                                                                                                                                                                                                        	|voters approving a visitor 's tax on hotels , motels and rental cars to finance three-fourths of the costs and the team contributing the rest , said Rick Pych , president of business operations for San Antonio Spurs Sports .                                                                            
FIGER_filtered_with_BBN_test            	Federal Way                                                                                         	Raymond Jung , 51 , of                                                                                                                                                                                                                                                                                      	|; accused of leasing apartments where the women were housed .                                                                                                                                                                                                                                               
FIGER_filtered_with_BBN_test            	Seattle                                                                                             	Christian Sinderman , a political consultant , said that while the number of people who want professional basketball returned to                                                                                                                                                                            	|is high , the number who think it 's essential is low .                                                                                                                                                                                                                                                     
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------OntoNotes_filtered_with_BBN_test        	Hollywood                                                                                           	Harry is now a 57 - year - old writer , whose continuing flirtation with drugs and marginal types in                                                                                                                                                                                                        	|and New York seems quaintly out - of - synch .                                                                                                                                                                                                                                                              
OntoNotes_filtered_with_BBN_test        	a Long Island suburb                                                                                	Harry has avoided all that by living in                                                                                                                                                                                                                                                                     	|with his wife , who 's so addicted to soap operas and mystery novels she barely seems to notice when her husband disappears for drug - seeking forays into Manhattan .                                                                                                                                      
OntoNotes_filtered_with_BBN_test        	Hong Kong and Macao                                                                                 	Guangdong Province , fully utilizing its geographical advantage of being in close proximity to                                                                                                                                                                                                              	|and being located in the Asian tropics , is vigorously developing extroverted agriculture .                                                                                                                                                                                                                 
OntoNotes_filtered_with_BBN_test        	Parsippany                                                                                          	                                                                                                                                                                                                                                                                                                            	|, N.J .                                                                                                                                                                                                                                                                                                     
OntoNotes_filtered_with_BBN_test        	Macau                                                                                               	Xuming Zhang , Chairman of the Chinese Enterprise Association in                                                                                                                                                                                                                                            	|said that , at present there were more than 200 enterprises operating with Chinese capital in Macau and that the total value of assets is more than 90 billion patacas .                                                                                                                                    
OntoNotes_filtered_with_BBN_test        	Shanghai                                                                                            	Now , Shanghai has formed 6 export forces : foreign trade , industrial trade , self - management enterprises , enterprises subordinate to central government departments and enterprises in                                                                                                                 	|invested by other provinces and cities , and foreign investment enterprises .                                                                                                                                                                                                                               
OntoNotes_filtered_with_BBN_test        	Scarborough                                                                                         	That means two plants -- one in                                                                                                                                                                                                                                                                             	|, Ontario , and the other in Lordstown , Ohio -- probably will be shut down after the end of 1991 .                                                                                                                                                                                                         
OntoNotes_filtered_with_BBN_test        	Santa Monica                                                                                        	`` The last crash taught institutional investors that they have to be long - term holders , and that they ca n't react to short - term events , good or bad , '' said Stephen L. Nesbitt , senior vice president for the pension consultants Wilshire Associates in                                         	|, Calif .                                                                                                                                                                                                                                                                                                   
OntoNotes_filtered_with_BBN_test        	Shanghai                                                                                            	The US commercial sector is very interested in building a good relationship with                                                                                                                                                                                                                            	|.                                                                                                                                                                                                                                                                                                           
OntoNotes_filtered_with_BBN_test        	Reading                                                                                             	Meridian Bancorp Inc. ,                                                                                                                                                                                                                                                                                     	|, Pa. , will acquire Hill Financial Savings Association , Red Hill , Pa. , which had $ 2.3 billion in assets .                                                                                                                                                                                              
OntoNotes_filtered_with_BBN_test        	Washington                                                                                          	He concluded his remarks by quoting , emotionally and at some length , according to those present , the late Martin Luther King 's famous `` I Have a Dream '' speech from the 1963 March on                                                                                                                	|.                                                                                                                                                                                                                                                                                                           
OntoNotes_filtered_with_BBN_test        	Shanghai                                                                                            	Brown arrived in                                                                                                                                                                                                                                                                                            	|from Beijing late last night .                                                                                                                                                                                                                                                                              
OntoNotes_filtered_with_BBN_test        	River City , Iowa ,                                                                                 	More than 30 years ago , Prof. Harold Hill , the con man in Meredith Willson 's `` The Music Man , '' warned the citizens of                                                                                                                                                                                	|against the game .                                                                                                                                                                                                                                                                                          
OntoNotes_filtered_with_BBN_test        	Portland                                                                                            	Precision Castparts Corp. ,                                                                                                                                                                                                                                                                                 	|, Ore. , will begin trading with the symbol PCP .                                                                                                                                                                                                                                                           
OntoNotes_filtered_with_BBN_test        	New York                                                                                            	Harry is now a 57 - year - old writer , whose continuing flirtation with drugs and marginal types in Hollywood and                                                                                                                                                                                          	|seems quaintly out - of - synch .                                                                                                                                                                                                                                                                           
OntoNotes_filtered_with_BBN_test        	Shanghai                                                                                            	According to the latest statistics ,                                                                                                                                                                                                                                                                        	|has founded 218 trade - oriented companies and organizations abroad , organized 6 regional overseas group companies , and it has approved overseas non-trade enterprises reaching 260 with a total investment of 200 million US dollars .                                                                   
OntoNotes_filtered_with_BBN_test        	the city 's                                                                                         	The real estate slump that 's pushing down the price of New York office space and housing is also affecting                                                                                                                                                                                                 	|retail real estate market .                                                                                                                                                                                                                                                                                 
OntoNotes_filtered_with_BBN_test        	China 's Changchun                                                                                  	At the invitation of concerned Chinese departments , Japan has also made investigations into the comprehensive development of the regions along the railway from                                                                                                                                            	|to Huichun .                                                                                                                                                                                                                                                                                                
OntoNotes_filtered_with_BBN_test        	other U.S. cities                                                                                   	New York retail rents still run well above the going rate in                                                                                                                                                                                                                                                	|.                                                                                                                                                                                                                                                                                                           
OntoNotes_filtered_with_BBN_test        	Boston , San Francisco and Chicago                                                                  	By contrast , rentals in the best retail locations in                                                                                                                                                                                                                                                       	|rarely top $ 100 a square foot .                                                                                                                                                                                                                                                                            
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------Choi_filtered_with_BBN_test             	it                                                                                                  	In 1860 ,                                                                                                                                                                                                                                                                                                   	|became part of the new Kingdom of Italy .                                                                                                                                                                                                                                                                   
Choi_filtered_with_BBN_test             	the Victoria Aces                                                                                   	South Australia hosted the New South Wales Patriots at Norwood Oval , Adelaide for the semi-final series , while                                                                                                                                                                                            	|hosted the championship series at La Trobe University , Melbourne .                                                                                                                                                                                                                                         
Choi_filtered_with_BBN_test             	Southbank and Elsternwick                                                                           	The studios are located in                                                                                                                                                                                                                                                                                  	|, and transmitter at Mount Dandenong .                                                                                                                                                                                                                                                                      
Choi_filtered_with_BBN_test             	Sevenoaks , Kent following structural failure of the tailfin or rudder                              	The 1927 KLM Fokker F. VIII crash happened on 22 August 1927 when Fokker F. VIII H-NADU of KLM crashed at                                                                                                                                                                                                   	|.                                                                                                                                                                                                                                                                                                           
Choi_filtered_with_BBN_test             	it                                                                                                  	" For Shanghai to become a financial and economic centre ,                                                                                                                                                                                                                                                  	|will have to depend on China 's economy ... it is not dependent on relocating Hong Kong 's economy , " he said .                                                                                                                                                                                            
Choi_filtered_with_BBN_test             	Oxford                                                                                              	He studied at St Clare 's International School in                                                                                                                                                                                                                                                           	|and then at Bocconi University in Milan .                                                                                                                                                                                                                                                                   
Choi_filtered_with_BBN_test             	discussions of the Israeli-Palestinian conflict                                                     	It originated in                                                                                                                                                                                                                                                                                            	|, where it was used to refer to Israeli settlements built in the occupied West Bank , which were intended to establish permanent Israeli footholds in Palestinian territory .                                                                                                                               
Choi_filtered_with_BBN_test             	It                                                                                                  	                                                                                                                                                                                                                                                                                                            	|is located in the foothills of the Western Ghats near the Courtallam Waterfall and Tenkasi .                                                                                                                                                                                                                
Choi_filtered_with_BBN_test             	Gloucestershire                                                                                     	The Faringdon rural district bordered                                                                                                                                                                                                                                                                       	|to the north west , Wiltshire to the west and Oxfordshire and the River Thames to the north .                                                                                                                                                                                                               
Choi_filtered_with_BBN_test             	Vancouver , BC                                                                                      	Due to his inability to qualify , he did not compete in the 2010 Winter Olympics in                                                                                                                                                                                                                         	|.                                                                                                                                                                                                                                                                                                           
Choi_filtered_with_BBN_test             	The city                                                                                            	                                                                                                                                                                                                                                                                                                            	|became part of the independent nation of Kenya in the 20th century .                                                                                                                                                                                                                                        
Choi_filtered_with_BBN_test             	it                                                                                                  	If the Valley muscled its way onto America 's urban map , L.A. would be left with a population of 2.3 million _ dropping                                                                                                                                                                                    	|to third and restoring Chicago to the Second City status it once cherished .                                                                                                                                                                                                                                
Choi_filtered_with_BBN_test             	Arua town                                                                                           	In the late 1970s the Ugandan president at the time Godfrey Binaisa declared that all districts / provinces acquire their names from their regional capital so that is how Arua district inherited the name from                                                                                            	|.                                                                                                                                                                                                                                                                                                           
Choi_filtered_with_BBN_test             	it                                                                                                  	Located 320kmon inland from Hudson Bay ,                                                                                                                                                                                                                                                                    	|is near the nation 's geographical centre , and is notable for being the Canadian Arctic 's sole inland community .                                                                                                                                                                                         
Choi_filtered_with_BBN_test             	Beijing                                                                                             	Four years later , she was chosen to perform at the 11th Asian Games in                                                                                                                                                                                                                                     	|, and sang a duet with Spanish singer Julio Iglesias at the 1993 East Asian Games in Shanghai .                                                                                                                                                                                                             
Choi_filtered_with_BBN_test             	Montreal and Toronto                                                                                	In tennis the airline sponsors the Dubai Tennis Championships , and the Canadian Open tennis championships held in                                                                                                                                                                                          	|.                                                                                                                                                                                                                                                                                                           
Choi_filtered_with_BBN_test             	Rimske Toplice                                                                                      	It lies on the left bank of the river Savinja , opposite                                                                                                                                                                                                                                                    	|.                                                                                                                                                                                                                                                                                                           
Choi_filtered_with_BBN_test             	Boise I                                                                                             	                                                                                                                                                                                                                                                                                                            	|know because it 's the home of Septic Death .                                                                                                                                                                                                                                                               
Choi_filtered_with_BBN_test             	Sinaloa , Mexico                                                                                    	Associated Press Writer Ricardo Gonzalez contributed to this report from                                                                                                                                                                                                                                    	|.                                                                                                                                                                                                                                                                                                           
Choi_filtered_with_BBN_test             	Sandy Hook                                                                                          	Shortly thereafter the Signal Corps became alarmed that their radar work was being observed by German spies , and moved development to                                                                                                                                                                      	|at Fort Hancock , the coast artillery defense site for Lower New York Bay .                                                                                                                                                                                                                                 
